Responder	Division	PostdocComm	MoreEvents	Type	Time	Able	OtherPostdocs
1	COMGEN	Yes	Unsure	SkillSharing	Other	YesTime	Moderately
1	COMGEN	Yes	Unsure	Networking	Other	YesTime	Moderately
1	COMGEN	Yes	Unsure	ResearchForum	Other	YesTime	Moderately
1	COMGEN	Yes	Unsure	Careers	Other	YesTime	Moderately
1	COMGEN	Yes	Unsure	Social	Other	YesTime	Moderately
2	IIM	YesKnow	Yes	SkillSharing	Half-day	YesEncouraged	FairlyWell
2	IIM	YesKnow	Yes	Networking	Half-day	YesEncouraged	FairlyWell
2	IIM	YesKnow	Yes	ResearchForum	Half-day	YesEncouraged	FairlyWell
2	IIM	YesKnow	Yes	Social	Half-day	YesEncouraged	FairlyWell
3	COMGEN	Yes	Yes	SkillSharing	Other	YesTime	Moderately
3	COMGEN	Yes	Yes	ResearchForum	Other	YesTime	Moderately
3	COMGEN	Yes	Yes	Social	Other	YesTime	Moderately
4	COMGEN	Yes	Yes	Careers	Half-day	Yes	Moderately
4	COMGEN	Yes	Yes	Social	Half-day	Yes	Moderately
5	PPN	Yes	Yes	SkillSharing	Half-day	Yes	Moderately
5	PPN	Yes	Yes	Networking	Half-day	Yes	Moderately
5	PPN	Yes	Yes	ResearchForum	Half-day	Yes	Moderately
5	PPN	Yes	Yes	Careers	Half-day	Yes	Moderately
5	PPN	Yes	Yes	Social	Half-day	Yes	Moderately
6	PPN	YesKnow	Yes	SkillSharing	FullDay	YesTime	Moderately
6	PPN	YesKnow	Yes	Networking	FullDay	YesTime	Moderately
6	PPN	YesKnow	Yes	ResearchForum	FullDay	YesTime	Moderately
6	PPN	YesKnow	Yes	Careers	FullDay	YesTime	Moderately
6	PPN	YesKnow	Yes	Social	FullDay	YesTime	Moderately
7	PPN	YesKnow	Yes	SkillSharing	Half-day	YesEncouraged	VeryWell
7	PPN	YesKnow	Yes	Networking	Half-day	YesEncouraged	VeryWell
7	PPN	YesKnow	Yes	ResearchForum	Half-day	YesEncouraged	VeryWell
7	PPN	YesKnow	Yes	Careers	Half-day	YesEncouraged	VeryWell
7	PPN	YesKnow	Yes	Social	Half-day	YesEncouraged	VeryWell
8	COMGEN	Yes	Unsure	Social	Hour	YesTime	Moderately
9	IIM	YesKnow	Yes	SkillSharing	Half-day	YesTime	FairlyWell
9	IIM	YesKnow	Yes	Networking	Half-day	YesTime	FairlyWell
9	IIM	YesKnow	Yes	ResearchForum	Half-day	YesTime	FairlyWell
9	IIM	YesKnow	Yes	Careers	Half-day	YesTime	FairlyWell
9	IIM	YesKnow	Yes	Social	Half-day	YesTime	FairlyWell
10	PPN	YesKnow	Yes	SkillSharing	Half-day	YesTime	Moderately
10	PPN	YesKnow	Yes	Networking	Half-day	YesTime	Moderately
10	PPN	YesKnow	Yes	ResearchForum	Half-day	YesTime	Moderately
10	PPN	YesKnow	Yes	Careers	Half-day	YesTime	Moderately
10	PPN	YesKnow	Yes	Social	Half-day	YesTime	Moderately
11	PPN	YesKnow	Yes	SkillSharing	Half-day	YesTime	FairlyWell
11	PPN	YesKnow	Yes	Networking	Half-day	YesTime	FairlyWell
11	PPN	YesKnow	Yes	ResearchForum	Half-day	YesTime	FairlyWell
12	PPN	Yes	Yes	SkillSharing	FullDay	YesTime	Moderately
12	PPN	Yes	Yes	Networking	FullDay	YesTime	Moderately
12	PPN	Yes	Yes	ResearchForum	FullDay	YesTime	Moderately
12	PPN	Yes	Yes	Careers	FullDay	YesTime	Moderately
13	COMGEN	Yes	Unsure	SkillSharing	Half-day	YesEncouraged	Moderately
13	COMGEN	Yes	Unsure	Networking	Half-day	YesEncouraged	Moderately
13	COMGEN	Yes	Unsure	ResearchForum	Half-day	YesEncouraged	Moderately
14	COMGEN	YesKnow	Yes	SkillSharing	MultipleDays	No	Moderately
14	COMGEN	YesKnow	Yes	Networking	MultipleDays	No	Moderately
14	COMGEN	YesKnow	Yes	ResearchForum	MultipleDays	No	Moderately
14	COMGEN	YesKnow	Yes	Social	MultipleDays	No	Moderately
15	COMGEN	No	Unsure	ResearchForum	Half-day	YesTime	FairlyWell
15	COMGEN	No	Unsure	Careers	Half-day	YesTime	FairlyWell
16	IIM	No	Yes	SkillSharing	Other	YesTime	Moderately
16	IIM	No	Yes	Careers	Other	YesTime	Moderately
17	PPN	YesKnow	Yes	SkillSharing	Hour	YesTime	Moderately
17	PPN	YesKnow	Yes	ResearchForum	Hour	YesTime	Moderately
18	PPN	YesKnow	Yes	SkillSharing	Half-day	YesEncouraged	Moderately
18	PPN	YesKnow	Yes	Networking	Half-day	YesEncouraged	Moderately
18	PPN	YesKnow	Yes	ResearchForum	Half-day	YesEncouraged	Moderately
18	PPN	YesKnow	Yes	Careers	Half-day	YesEncouraged	Moderately
18	PPN	YesKnow	Yes	Social	Half-day	YesEncouraged	Moderately
19	IIM	YesKnow	Yes	SkillSharing	Hour	No	FairlyWell
19	IIM	YesKnow	Yes	Networking	Hour	No	FairlyWell
19	IIM	YesKnow	Yes	ResearchForum	Hour	No	FairlyWell
19	IIM	YesKnow	Yes	Careers	Hour	No	FairlyWell
19	IIM	YesKnow	Yes	Social	Hour	No	FairlyWell
20	IIM	YesKnow	No	NoEvent	NoTime	YesEncouraged	FairlyWell
21	PPN	Yes	No	SkillSharing	Half-day	YesTime	FairlyWell
21	PPN	Yes	No	Careers	Half-day	YesTime	FairlyWell
21	PPN	Yes	No	Social	Half-day	YesTime	FairlyWell
22	COMGEN	Yes	Yes	SkillSharing	Half-day	YesEncouraged	Moderately
22	COMGEN	Yes	Yes	Careers	Half-day	YesEncouraged	Moderately
22	COMGEN	Yes	Yes	Other	Half-day	YesEncouraged	Moderately
23	PPN	YesKnow	Yes	Careers	FullDay	YesEncouraged	Moderately
24	IIM	Yes	Unsure	ResearchForum	FullDay	Yes	Moderately
24	IIM	Yes	Unsure	Social	FullDay	Yes	Moderately
25	PPN	YesKnow	Yes	SkillSharing	FullDay	YesTime	Moderately
25	PPN	YesKnow	Yes	ResearchForum	FullDay	YesTime	Moderately
25	PPN	YesKnow	Yes	Careers	FullDay	YesTime	Moderately
25	PPN	YesKnow	Yes	Social	FullDay	YesTime	Moderately
25	PPN	YesKnow	Yes	NoEvent	FullDay	YesTime	Moderately
26	PPN	YesKnow	Yes	SkillSharing	Hour	YesTime	Moderately
26	PPN	YesKnow	Yes	Networking	Hour	YesTime	Moderately
26	PPN	YesKnow	Yes	ResearchForum	Hour	YesTime	Moderately
26	PPN	YesKnow	Yes	Careers	Hour	YesTime	Moderately
26	PPN	YesKnow	Yes	Social	Hour	YesTime	Moderately
27	IIM	Yes	Yes	SkillSharing	Half-day	YesEncouraged	Moderately
27	IIM	Yes	Yes	Networking	Half-day	YesEncouraged	Moderately
27	IIM	Yes	Yes	ResearchForum	Half-day	YesEncouraged	Moderately
27	IIM	Yes	Yes	Careers	Half-day	YesEncouraged	Moderately
